model,resp_id,orig_idx,domain,mean_surprisal,n_tok,gap,jsd_noctx,chunk_drops,chunk_jsds,sent_type,label,sent_text
ragbench_Qwen2.5-0.5B-Instruct,0,0,finqa,4.107563495635986,9,0.5817046761512756,0.12098966538906097,"[-0.10872860583994123, -0.03863916266709566, -0.009896013057894178, 0.010767155016462008, 0.20879028789285156]","[0.004447627085836656, 0.0010806635309563717, 0.0005977548951502993, 0.001945084513055109, 0.004039394714507378]",none,0,Based on the information provided in the context:
ragbench_Qwen2.5-0.5B-Instruct,0,0,finqa,0.7121070623397827,16,0.6133686304092407,0.17235367000102997,"[0.5045465232979041, -0.05380045262427302, -0.025048696381418267, -0.06018621721159434, 0.13967612421765807]","[0.07970416833813943, 0.002243150134404459, 0.001296626303371795, 0.0017146546471735746, 0.001936481565479653]",none,0,- The 2021 notes are due in 2021.
ragbench_Qwen2.5-0.5B-Instruct,0,0,finqa,0.11965824663639069,16,0.2614458501338959,0.04813448712229729,"[0.12336403317794975, 0.014101119384122285, 0.11544105831831075, 0.0061716139487089094, 0.009566725682134347]","[0.026596644405344705, 0.0022583382157819187, 0.005756746022186121, 0.0005730849435821028, 0.000504559921694181]",none,0,- The 2019 notes are due in 2019.
ragbench_Qwen2.5-0.5B-Instruct,0,0,finqa,0.4174064099788666,21,0.31216421723365784,0.06712714582681656,"[0.004012711527355437, -0.04971303554581633, -0.045313605060939496, 0.456824383750375, -0.004126347850182182]","[0.004651627727314788, 0.002506842995541904, 0.004294166222366801, 0.05538028379190846, 0.0009379286713868039]",none,0,"- The 2017 notes are due on September 15, 2017."
ragbench_Qwen2.5-0.5B-Instruct,0,0,finqa,0.6600785255432129,20,0.11993275582790375,0.024831775575876236,"[-0.020197976999088495, 0.008176550537291405, 0.002228102856179248, 0.00026280986935489636, 0.012208942408983603]","[0.0008528053070406827, 0.0002778063658240626, 0.0003405448655698251, 0.00048698608621435826, 0.0010848811033625338]",none,0,"To calculate the percent of future notes due by 2017, I will: 1."
ragbench_Qwen2.5-0.5B-Instruct,0,0,finqa,1.265077829360962,11,0.22944337129592896,0.03636951744556427,"[-0.1376027079399633, -0.018737082964931193, 0.0007105789660603147, 0.12328313262498175, 0.037353578317296604]","[0.004957622914017437, 0.0014114894275652741, 0.00034792870321160245, 0.0010365204002896048, 0.001992310873158038]",none,0,Identify the total principal amount of future notes. 2.
ragbench_Qwen2.5-0.5B-Instruct,0,0,finqa,0.2626584470272064,16,0.06604329496622086,0.0104061309248209,"[-0.024465531333476065, 0.010417244644600032, 0.021608717188996707, 0.001456931111817994, 0.01598081498519832]","[0.001130997908028064, 0.0003140339273173254, 0.0006135322920961528, 0.0010944273980584285, 0.00043715586940606954]",none,0,Identify the principal amount of notes due by 2017. 3.
ragbench_Qwen2.5-0.5B-Instruct,0,0,finqa,0.49998196959495544,19,0.007744268514215946,0.009202416054904461,"[-0.00604497626198664, 0.012768758774511394, -0.0012959600721124413, -0.003769842542073763, -0.005248723700213687]","[0.0006064470883900771, 0.0005818870502145345, 0.00024923438018288976, 0.00027179907073104914, 0.000794288844812591]",none,0,Divide the amount due by 2017 by the total principal amount to get the percentage.
ragbench_Qwen2.5-0.5B-Instruct,0,0,finqa,0.23981010913848877,6,0.01583034172654152,0.0078007872216403484,"[-0.006457233646263679, -0.0015493471485873063, -0.00938318514575561, 0.0064286695172389345, 0.004169002330551545]","[0.0007656880285746107, 3.1295900043915026e-05, 2.0828679832144797e-05, 0.0001795703486398755, 0.00013290519503546724]",none,1,Total principal amount of future notes:
ragbench_Qwen2.5-0.5B-Instruct,0,0,finqa,0.9996388554573059,12,0.06690505892038345,0.1256113350391388,"[-0.5116415185232958, -0.06749542922868083, 0.031296818129097424, 0.08451079185275982, -0.05183899348291258]","[0.06219788050899903, 0.001374405581600513, 0.0019932733018019158, 0.018952381334202073, 0.0010743878847658077]",none,1,- 2021 notes: $700 million
ragbench_Qwen2.5-0.5B-Instruct,0,0,finqa,0.39998647570610046,10,0.05007429048418999,0.028678441420197487,"[-0.152600962962606, 0.36418851624039233, 0.1433187897404423, 0.14102609435212798, 0.029156823361699936]","[0.028098689978924084, 0.03956991241107062, 0.012870451595449594, 0.01836850471536309, 0.0023255823596628035]",none,0,- 2019 notes: $1 billion
