model,resp_id,orig_idx,domain,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label
ragbench_Qwen2.5-1.5B-Instruct,0,0,finqa,0.6581854224205017,200,0.17869140207767487,0.051051486283540726,"[0.03915691899400372, 0.014753780306709813, -0.003723368325879619, 0.07682671920051234, 0.010096825611462919]","[0.01673670712461046, 0.004423225487181242, 0.00162504904174142, 0.012690132863666293, 0.0003836376120361251]",1
ragbench_Qwen2.5-1.5B-Instruct,1,1,pubmedqa,0.8667625188827515,101,1.2921444177627563,0.17432430386543274,"[0.38805075316415943, 0.5823735288431365, 0.02042234262328991, 0.29366154565907143, 0.038085206440806214]","[0.08907561059516238, 0.07276905465406489, 0.005283398616051253, 0.0316071990070973, 0.006883544968033984]",1
ragbench_Qwen2.5-1.5B-Instruct,2,2,finqa,0.7526662945747375,36,0.2048642486333847,0.0353873148560524,"[0.03980133620360801, 0.022387833949829253, 0.08480017112338424, -0.014897071688210417, 0.018593617206483434]","[0.00340775623078255, 0.0011473244567557434, 0.01881604724576391, 0.0007733958913560299, 0.0009637683316220268]",1
ragbench_Qwen2.5-1.5B-Instruct,3,3,pubmedqa,1.337119221687317,159,1.5440073013305664,0.22365188598632812,"[0.5546252134863036, 0.448293203697668, 0.2367689571845449, 0.30463548919523986]","[0.07225183298275321, 0.07625499614270363, 0.04729406331848379, 0.041974718849087794]",1
ragbench_Qwen2.5-1.5B-Instruct,4,4,pubmedqa,0.8234898447990417,200,0.6412695050239563,0.12693089246749878,"[0.3100522478760408, 0.26690438811110373, 0.011623875425158019, -0.05267914271487257, -0.026082488372674958]","[0.04725953541314415, 0.04259286482147696, 0.006571345627404046, 0.013197811807780102, 0.002753567453354693]",1
ragbench_Qwen2.5-1.5B-Instruct,5,5,finqa,0.6038680076599121,200,0.4666997492313385,0.09150192886590958,"[-0.023178673653039824, 0.010741247454275253, 0.38539975039292357, -0.007852190026860627]","[0.002376469635117644, 0.002947176770836535, 0.07752619658497636, 0.0006902653424057803]",1
ragbench_Qwen2.5-1.5B-Instruct,6,6,pubmedqa,0.9652737379074097,200,1.0118517875671387,0.1301533728837967,"[0.2034868181620186, -0.01803878982377114, 0.4252112593908191, 0.007688845567905674, 0.37521171068779724]","[0.03554872476964704, 0.007355403877808761, 0.04890526934729582, 0.0038082051700647312, 0.045902467408827564]",1
ragbench_Qwen2.5-1.5B-Instruct,7,7,pubmedqa,0.61546790599823,80,0.6777370572090149,0.13444912433624268,"[0.7459676002130436, -0.01956117666661612, 0.0046883639537782075, 0.006670974452208611]","[0.12279651074800313, 0.005969189418660292, 0.0023621092620301097, 0.0023374301525112885]",1
ragbench_Qwen2.5-1.5B-Instruct,8,8,pubmedqa,1.1814717054367065,200,1.0046906471252441,0.1734161376953125,"[0.013463296487959724, 0.437431631518175, 0.07619153304016209, 0.3087407423626382, 0.00661223368100309]","[0.02288000775667065, 0.08864861621168017, 0.020834805376603073, 0.04504843923871226, 0.004989852641806855]",1
ragbench_Qwen2.5-1.5B-Instruct,9,9,techqa,1.2528257369995117,200,0.05869600921869278,0.027664609253406525,"[0.007845061601226461, -0.004381142022809854, -0.0025929892094700337, -0.008446020763017259, 0.005908514892416861]","[0.011529753509524454, 0.0014893389227962927, 0.0014935834121678226, 0.0033983160432654812, 0.0028411736734574333]",1
ragbench_Qwen2.5-1.5B-Instruct,10,10,finqa,0.5501648187637329,90,0.15582291781902313,0.0559893399477005,"[0.18487660545872334, 0.019444706562798172, 0.017972421618449315, 0.02109813831575593, 0.10735780758930358]","[0.0293589839020642, 0.0007986194130138655, 0.0007094614729080856, 0.0008263353832736205, 0.026267220313682553]",1
ragbench_Qwen2.5-1.5B-Instruct,11,11,finqa,0.9715219736099243,22,0.3420916795730591,0.10114588588476181,"[0.0651496615186757, 0.6152552480988643, 0.05705717685090018, 0.023956805654796135, 0.03035153728044613]","[0.03697463233656994, 0.08282311593319491, 0.0031263218952930897, 0.001379687798703344, 0.0015676977577227676]",1
ragbench_Qwen2.5-1.5B-Instruct,12,12,pubmedqa,0.7281597256660461,93,1.6131948232650757,0.2175034135580063,"[0.7000021898003138, 0.47711503566292823, 0.01284466226821013, 0.3785160274497313]","[0.09563625142590676, 0.06465461927943887, 0.010323599498388538, 0.0629386823278531]",1
