model,resp_id,orig_idx,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label,doc_id,summ_model
tofueval_Qwen2.5-1.5B-Instruct,0,0,2.8815529346466064,62,0.6937618255615234,0.17629088461399078,"[-0.002783491477584316, -0.01981450702688533, 0.5003974303422917, 0.03174626148017611, 0.01943918735184613]","[0.01665951386326748, 0.003956113591561275, 0.13854582150440453, 0.018848736372495796, 0.0069375296092524024]",1,AlamedaCC_02172015_2015-1189,Model-Extra
tofueval_Qwen2.5-1.5B-Instruct,1,1,1.2279666662216187,80,1.2347313165664673,0.2312602996826172,"[0.4174954820761741, 0.29675853206804276, 0.37879378296527194, 0.02159450190854386, -0.022459754297028667]","[0.07547753264357197, 0.03358640411383362, 0.10158062683484133, 0.004586410774176386, 0.005565337909223089]",0,AlamedaCC_02172015_2015-1189,model_A
tofueval_Qwen2.5-1.5B-Instruct,2,2,2.027557373046875,20,1.1099072694778442,0.17210054397583008,"[-0.05536622919607907, 0.02344404358882457, 0.6554419929627329, 0.07251407605363056, 0.15782619449310004]","[0.007545027621381451, 0.004951125104707898, 0.10889616423519329, 0.010467261336088995, 0.005695543711044593]",0,AlamedaCC_02172015_2015-1189,model_B
tofueval_Qwen2.5-1.5B-Instruct,3,3,1.3263496160507202,50,1.184867262840271,0.2159833014011383,"[-0.02037204502914392, -0.03705420823636814, 0.8594464181986404, 0.09379832385624468, 0.03250129977495817]","[0.006088093100468086, 0.006933705546675811, 0.19117501221626299, 0.007303758826167268, 0.0045023994889857024]",0,AlamedaCC_02172015_2015-1189,model_C
tofueval_Qwen2.5-1.5B-Instruct,4,4,1.799430012702942,66,1.0285859107971191,0.20071503520011902,"[0.3007810897640108, 0.09816268853980793, 0.6320509446474413, 0.012642616991026003, 0.0042397439533625875]","[0.04607363188536469, 0.04034512631487401, 0.1317290418810444, 0.01962218185368005, 0.003935170301844412]",1,AlamedaCC_02172015_2015-1189,model_D
tofueval_Qwen2.5-1.5B-Instruct,5,5,1.6056991815567017,31,1.878678798675537,0.19770589470863342,"[-0.09601185933241786, -0.02115811588925182, 1.6631740108845876, -0.01215302327463794, 0.05145168799959544]","[0.007874379694796164, 0.002573738032123724, 0.18173803038699854, 0.008741178168278449, 0.005628097353865674]",0,AlamedaCC_02172015_2015-1189,model_E
tofueval_Qwen2.5-1.5B-Instruct,6,6,2.357724189758301,52,1.3234045505523682,0.23040850460529327,"[0.1179488460587051, 0.04473741857621532, 0.8771230824864827, 0.3163870544745945, 0.04526172855940576]","[0.021025346128366297, 0.013090747397095233, 0.18323542760649267, 0.04114800580275467, 0.009998307394198491]",1,AlamedaCC_02172015_2015-1189,Model-Extra
tofueval_Qwen2.5-1.5B-Instruct,7,7,1.07144296169281,67,1.5923441648483276,0.24354040622711182,"[0.2373944044994093, 0.23239087408153103, 0.9151268781745092, 0.02062059749982497, 0.02566686841134076]","[0.05022209310552728, 0.07033337489270816, 0.13232603136051313, 0.001983279818615749, 0.004508669007184075]",1,AlamedaCC_02172015_2015-1189,model_A
tofueval_Qwen2.5-1.5B-Instruct,8,8,1.3778085708618164,51,1.8897063732147217,0.28847867250442505,"[0.3420593012324567, 0.037766233922072796, 1.5372330761268078, -0.0861981829506583, 0.016388132193625615]","[0.05166476738009788, 0.04029009355545192, 0.1961367396762202, 0.013763973029012156, 0.0048639803296040614]",0,AlamedaCC_02172015_2015-1189,model_B
tofueval_Qwen2.5-1.5B-Instruct,9,9,1.1888569593429565,124,1.4207425117492676,0.2410423457622528,"[0.06774513952776091, 0.012249025621585016, 0.9295812010096275, 0.5119605604585588, -0.006672614923856247]","[0.015307818940070297, 0.014501355909450167, 0.14707832401049634, 0.08400298970643566, 0.0062639402014501725]",0,AlamedaCC_02172015_2015-1189,model_C
tofueval_Qwen2.5-1.5B-Instruct,10,10,1.1821308135986328,74,1.9482684135437012,0.2512137293815613,"[0.2518536408117782, 0.4225326634009803, 1.2573165530551262, -0.01188498217030625, -0.002355854920441178]","[0.042848247062349056, 0.06858660767382027, 0.14856981528764726, 0.005325743014285197, 0.004278230637780596]",0,AlamedaCC_02172015_2015-1189,model_D
tofueval_Qwen2.5-1.5B-Instruct,11,11,0.8544219136238098,112,1.479498028755188,0.23088404536247253,"[0.6669369568698065, 0.026626444079267588, 0.6641688365397808, -0.01598914861587478, -0.004541486535036451]","[0.0927164129782493, 0.033037842148610864, 0.08883519613483161, 0.004385036787643871, 0.004587629170821117]",1,AlamedaCC_02172015_2015-1189,model_E
tofueval_Qwen2.5-1.5B-Instruct,12,12,1.8873203992843628,43,1.5145092010498047,0.2600247263908386,"[0.05337459623250504, 0.532957985477392, 0.8387524129194749, 0.32113026868725236, -0.0027949506373599517]","[0.013700248010261633, 0.10034413162488924, 0.11833886732973381, 0.02693856641920764, 0.005443742196210985]",1,AlamedaCC_02172015_2015-1189,Model-Extra
tofueval_Qwen2.5-1.5B-Instruct,13,13,0.9895219802856445,101,1.3982983827590942,0.26199477910995483,"[0.49971570131541254, 0.5179502111955792, 0.47381723467127146, 0.0249230489940907, 0.05481161085998171]","[0.08965887979866238, 0.09223281683400171, 0.083568103553077, 0.002357120363067275, 0.0035582251769150927]",0,AlamedaCC_02172015_2015-1189,model_A
tofueval_Qwen2.5-1.5B-Instruct,14,14,1.2066279649734497,91,1.3983957767486572,0.23171454668045044,"[0.5191923276651433, 0.12042358125176839, 0.4240450470542283, 0.022493957534766944, 0.18896632586722342]","[0.06907389892155781, 0.03688857676906916, 0.06193141053653972, 0.006835130155217519, 0.03247747502400658]",0,AlamedaCC_02172015_2015-1189,model_B
tofueval_Qwen2.5-1.5B-Instruct,15,15,1.2600616216659546,75,1.4994007349014282,0.19594275951385498,"[0.37911402779786535, 0.2501940770610236, 0.9096399496484082, 0.025562936111236924, 0.017014285377420797]","[0.05741855762801909, 0.0599023741678199, 0.10201110792160155, 0.0021648487268312996, 0.0038887710929778525]",0,AlamedaCC_02172015_2015-1189,model_C
tofueval_Qwen2.5-1.5B-Instruct,16,16,0.9942834377288818,82,1.5972660779953003,0.2629949748516083,"[0.1007541874792523, 0.4122024812062059, 0.9093199258561249, 0.3119299816307608, -0.012001013255174746]","[0.01862399725458786, 0.07960163654521549, 0.13299321718881452, 0.05016766305503183, 0.0040064257825628636]",0,AlamedaCC_02172015_2015-1189,model_D
tofueval_Qwen2.5-1.5B-Instruct,17,17,0.9382151365280151,116,1.2603501081466675,0.22223488986492157,"[0.44224985904067327, 0.3512562986256775, 0.6025791175851392, 0.021482573311529984, 0.028939133914726536]","[0.07086815383016677, 0.08377246723826351, 0.07671095676128718, 0.0037545337031051553, 0.003979933815487917]",0,AlamedaCC_02172015_2015-1189,model_E
tofueval_Qwen2.5-1.5B-Instruct,18,18,2.223726987838745,23,2.065459728240967,0.28135767579078674,"[0.18953215725638944, -0.017049551649150722, 0.03050609266527159, -0.0015410825739229988, 1.8344800137084625]","[0.014204014781368998, 0.005234246121962433, 0.0029035130253886187, 0.002099128464618369, 0.23501800461267325]",0,AlamedaCC_04042017_2017-4092,Model-Extra
tofueval_Qwen2.5-1.5B-Instruct,19,19,1.0549052953720093,92,1.9044758081436157,0.22146311402320862,"[-0.0055419589021450675, 0.006894644061938617, 0.012706279277588928, 0.004000389704268183, 1.8689928632963488]","[0.0031934298809257757, 0.0013937375701995893, 0.0004638457846424345, 0.000495940287818109, 0.20279945854322842]",1,AlamedaCC_04042017_2017-4092,model_A
tofueval_Qwen2.5-1.5B-Instruct,20,20,0.6985706686973572,77,2.0323872566223145,0.26992008090019226,"[0.003121934390332786, 0.037398907804427756, -0.00017240511985985537, -0.002221225686983641, 1.9520105661388922]","[0.0037080896968114023, 0.001718603928185229, 0.0009783912194849674, 0.0008993349993978847, 0.25659018391161226]",1,AlamedaCC_04042017_2017-4092,model_B
tofueval_Qwen2.5-1.5B-Instruct,21,21,1.081114411354065,101,1.9026987552642822,0.26402485370635986,"[-0.026875570434388256, -0.017787887032466074, -0.0010738697756366518, -0.01328896056613735, 1.9194576844182856]","[0.004949438052327729, 0.003238100711158576, 0.0011641610427332411, 0.0008644772256292693, 0.25103903229167973]",1,AlamedaCC_04042017_2017-4092,model_C
tofueval_Qwen2.5-1.5B-Instruct,22,22,0.9858114123344421,57,3.0199499130249023,0.3983915448188782,"[-0.047540961320345035, -0.005410770671580012, 0.003319192480391888, -0.03966485046520686, 2.901108977401204]","[0.004577543174892334, 0.0025610041676959313, 0.0009875130566168685, 0.00064029290112793, 0.38735936363145973]",0,AlamedaCC_04042017_2017-4092,model_D
tofueval_Qwen2.5-1.5B-Instruct,23,23,1.0156210660934448,43,2.4933245182037354,0.33425918221473694,"[0.02295087965932569, -0.0197309059535761, 0.023435684121068334, -0.002696170064408825, 2.1221872453853963]","[0.003456792348325232, 0.0019257669034695103, 0.001609010053567805, 0.0012174991475545581, 0.29316915314628333]",1,AlamedaCC_04042017_2017-4092,model_E
tofueval_Qwen2.5-1.5B-Instruct,24,24,2.2137224674224854,66,0.9164336323738098,0.13161049783229828,"[0.02737956037956544, 0.01935732735948863, -0.0013117017912339759, -0.00529340604164948, 0.7445418663520479]","[0.004895982550034673, 0.0017632689824136887, 0.0008010271809932116, 0.0007072982087706667, 0.11066831224988247]",1,AlamedaCC_04042017_2017-4092,Model-Extra
tofueval_Qwen2.5-1.5B-Instruct,25,25,0.6071708798408508,66,3.5377581119537354,0.415609747171402,"[0.07529194291722281, 0.006016211180394748, -0.008676687832507234, -0.005409433966247669, 3.179980329470709]","[0.003225674464974046, 0.001351684709787247, 0.0015665894410765511, 0.0003412057885432687, 0.4036692681036198]",0,AlamedaCC_04042017_2017-4092,model_A
tofueval_Qwen2.5-1.5B-Instruct,26,26,0.8695974349975586,39,2.589186668395996,0.35129472613334656,"[-0.02393200403254853, 0.005821135696561004, 0.00341791060502426, -0.02146016645126973, 2.4119707745237227]","[0.003876884148063744, 0.0015697446618087969, 0.0006231187922174705, 0.0005985212540432864, 0.33849471307192475]",0,AlamedaCC_04042017_2017-4092,model_B
tofueval_Qwen2.5-1.5B-Instruct,27,27,0.9160358905792236,96,2.145650625228882,0.2767995297908783,"[0.004174608476811652, -0.005969019281110377, -0.014975255251859684, -0.014853157295571387, 2.0319120152162213]","[0.004411439419717074, 0.002687208628576817, 0.0006657339734180331, 0.0006229958393670169, 0.2657027400697795]",1,AlamedaCC_04042017_2017-4092,model_C
tofueval_Qwen2.5-1.5B-Instruct,28,28,1.5607852935791016,61,1.286205530166626,0.19589225947856903,"[0.006484906991168887, -0.0041919726378391265, -0.008208036866443629, 0.013932750769795423, 1.0484285875391521]","[0.0045003652057261445, 0.002781087320250126, 0.0007247932403366636, 0.0007510524654983291, 0.15997906855582336]",1,AlamedaCC_04042017_2017-4092,model_D
tofueval_Qwen2.5-1.5B-Instruct,29,29,1.2273647785186768,93,1.81434166431427,0.25192350149154663,"[-0.006108466721147985, -0.0008763139280402953, 0.002551965899289816, 0.003005466188125122, 1.7416278329747978]","[0.003897030845549917, 0.0018639434906153154, 0.0009835815796885717, 0.0008060782817679983, 0.24471799157665022]",1,AlamedaCC_04042017_2017-4092,model_E
tofueval_Qwen2.5-1.5B-Instruct,30,30,3.007619857788086,54,0.7606639862060547,0.16709908843040466,"[0.03462092162549703, -0.017974663141002465, 0.00021331748575903475, -0.018869272642337752, 0.6678671138102396]","[0.006783489560129291, 0.0020975022149556295, 0.001413972933463541, 0.0022264829250936463, 0.132868269480241]",1,AlamedaCC_04042017_2017-4092,Model-Extra
tofueval_Qwen2.5-1.5B-Instruct,31,31,1.2404632568359375,47,2.1402370929718018,0.2494513988494873,"[0.001366291307544514, 0.003107429080007429, -0.0037099937400582464, -0.010597404792822496, 1.8924590036808018]","[0.004584906980798746, 0.001693384003916203, 0.0007197823222624836, 0.0007290773134792153, 0.22499749919107342]",1,AlamedaCC_04042017_2017-4092,model_A
tofueval_Qwen2.5-1.5B-Instruct,32,32,0.9625532627105713,69,2.2889792919158936,0.2911433279514313,"[0.006442841605124725, 0.022663217645089575, 0.02722028736257082, 0.007218521606958256, 2.2938119780839137]","[0.003048190842564245, 0.0018356734535964147, 0.0007766244076541941, 0.0007362650937097171, 0.29956440340079693]",1,AlamedaCC_04042017_2017-4092,model_B
tofueval_Qwen2.5-1.5B-Instruct,33,33,1.3357917070388794,79,0.9537315964698792,0.16294997930526733,"[0.03222887304646871, 0.006102996309580911, 0.0025936398438094746, 0.001963930807482651, 0.9093280038774261]","[0.002730251902218547, 0.0016967034796135534, 0.0005597204900926885, 0.00047564266216214274, 0.1480958723372675]",1,AlamedaCC_04042017_2017-4092,model_C
tofueval_Qwen2.5-1.5B-Instruct,34,34,0.7380499839782715,78,2.9588019847869873,0.36112627387046814,"[0.02508875909627069, -0.002107622186602571, -0.0069567121327287545, -0.013297901970359724, 2.7147106839140926]","[0.005851713025444601, 0.0012922501082973288, 0.0005473617925534386, 0.0004264120669130278, 0.3442475908146335]",1,AlamedaCC_04042017_2017-4092,model_D
tofueval_Qwen2.5-1.5B-Instruct,35,35,1.551466464996338,39,2.731470823287964,0.3237488865852356,"[0.009181782512221104, -0.008728507109201299, 0.00621987035115942, 0.002578750798980204, 2.0762836494697976]","[0.004780860972273214, 0.0019323972230081265, 0.0013029789206484566, 0.001578053504113669, 0.2856156744468862]",1,AlamedaCC_04042017_2017-4092,model_E
tofueval_Qwen2.5-1.5B-Instruct,36,36,2.7291126251220703,54,0.39403286576271057,0.18807022273540497,"[-0.003917098094933425, 0.0019500619361039113, 0.05767155637322166, 0.00830604919422142, 0.46283503067119186]","[0.00938622031076698, 0.0034365674118311696, 0.0024453363963503863, 0.014502958165731225, 0.1784360352935942]",1,AlamedaCC_07162019_2019-6992,Model-Extra
tofueval_Qwen2.5-1.5B-Instruct,37,37,2.0853779315948486,45,0.011327937245368958,0.06974520534276962,"[-0.024440381618397726, 0.010609370347810908, -0.013273661815199173, -0.018991628680830926, 0.5234019661477457]","[0.0023293386128393143, 0.0010831634357196486, 0.0009996065076645917, 0.007581640937951306, 0.08944556871720125]",1,AlamedaCC_07162019_2019-6992,model_A
tofueval_Qwen2.5-1.5B-Instruct,38,38,1.9117505550384521,38,0.09764473140239716,0.07424543052911758,"[0.00678756256820634, 0.013482442632697425, 0.003895172491626765, -0.053571626442518255, 0.46521891871356946]","[0.002390779856867946, 0.002037208955716539, 0.0027086650393776403, 0.006356215565047981, 0.07670503572999703]",1,AlamedaCC_07162019_2019-6992,model_B
tofueval_Qwen2.5-1.5B-Instruct,39,39,1.5924290418624878,82,-0.1557161808013916,0.06075562536716461,"[-0.029899925775480812, 0.012328645697912512, 0.0033418157511887997, -0.010897827454888412, 0.15694397019786088]","[0.0032511710666579406, 0.0014937538945863564, 0.0015243551541092107, 0.0033193869476783344, 0.02233820773163898]",1,AlamedaCC_07162019_2019-6992,model_C
tofueval_Qwen2.5-1.5B-Instruct,40,40,2.4229438304901123,17,0.3682376742362976,0.05953152850270271,"[-0.018927844137686084, -0.025639459962429313, -0.0185769733532866, 0.0011831317815984435, -0.13342513779592563]","[0.0016520051660122322, 0.0005138940025450639, 0.0007616991411409532, 0.003799512358588853, 0.02448529672542196]",0,AlamedaCC_07162019_2019-6992,model_D
