model,resp_id,orig_idx,mean_surprisal,n_tok,gap,jsd_noctx,chunk_drops,chunk_jsds,sent_type,label,sent_text
tofueval_Qwen2.5-1.5B-Instruct,0,0,3.424935817718506,13,0.8560322523117065,0.1814400553703308,"[-0.16412156591048607, 0.0011015239243323987, -0.02803561234703431, 0.07847824936302808, -0.00993590927324616]","[0.0483078637939448, 0.007815552736596705, 0.06242947685174071, 0.01379182960282868, 0.007738906108827975]",none,1,The finance director expressed concern over fuel prices affecting sales tax revenue.
tofueval_Qwen2.5-1.5B-Instruct,0,0,2.764742136001587,13,-0.24808022379875183,0.2413569539785385,"[0.026749324436353233, -0.06834083568705515, -0.49179736840037197, -0.08534621419899989, -0.10417235595937549]","[0.0027495456696180133, 0.0014933813201637874, 0.2380564923156411, 0.0024349767599093097, 0.001039515144743046]",none,1,Tesoro recently increased gas prices $0.30/gallon.
tofueval_Qwen2.5-1.5B-Instruct,0,0,2.4659500122070312,8,0.5753388404846191,0.10420940071344376,"[0.01488450588658452, 0.06037297291914001, 0.72075734147802, -0.015176840766798705, 0.03988819190999493]","[0.005679230419900705, 0.0022428469183068955, 0.08619853900745511, 0.0028511376385722542, 0.0017861189444374759]",none,0,Fuel sales are volatile depending on oil prices.
tofueval_Qwen2.5-1.5B-Instruct,0,0,3.6556668281555176,5,2.396101236343384,0.2011667937040329,"[-0.00871441513299942, -0.22359199225902557, 2.411055493354797, 0.0609123021364212, 0.05595359392464161]","[0.010588157991878688, 0.0022239955549594017, 0.1664877489209175, 0.007278686645440758, 0.0045913265756098555]",none,0,The fracking industry influences costs.
tofueval_Qwen2.5-1.5B-Instruct,0,0,2.6086320877075195,19,0.5163437128067017,0.1576595902442932,"[0.12226184983247597, 0.030452722144362173, 0.42582356880762073, 0.08906896194247038, 0.07467549291782473]","[0.010954542574740787, 0.003948917798161825, 0.14314163062035254, 0.04253587468395524, 0.009705435131572335]",none,0,"The report expects fuel sales to decrease next year, impacting sales tax collection according to their tax advisor."
tofueval_Qwen2.5-1.5B-Instruct,1,1,1.500077486038208,37,1.2465343475341797,0.2658870220184326,"[0.6558384792259784, 0.12635004170777, -0.17164413449029017, 0.009692222583121416, -0.009286271154475823]","[0.12446438664785485, 0.030313927330368914, 0.046276522803635554, 0.004133456904626016, 0.005917005366120213]",none,0,"The document discusses the second quarter sales tax collections for the period ending December 31st, 2014, showing a 40% increase compared to last year."
tofueval_Qwen2.5-1.5B-Instruct,1,1,1.410110592842102,17,0.6314305663108826,0.14217032492160797,"[0.3873580883202307, 0.021981215049677035, 0.13499958654317787, 0.1868166314328418, 0.01687122684191255]","[0.0675713064162718, 0.01488079342251534, 0.05554776244988555, 0.009827322065254574, 0.00542366381491507]",none,0,The finance department representative mentions concerns over fuel prices and the potential impact on sales tax revenue.
tofueval_Qwen2.5-1.5B-Instruct,1,1,0.6562533378601074,24,1.7721136808395386,0.24772858619689941,"[0.12280698506159145, 0.7891045274341195, 1.4345301765327652, -0.07077090374362645, -0.05419883099845416]","[0.010352538046731752, 0.054038758989520375, 0.22325961978640407, 0.001573861569373965, 0.004025300100767737]",none,0,"The document also highlights strong sales growth across various industries, with business and industry, restaurants, and consumer goods leading the way."
tofueval_Qwen2.5-1.5B-Instruct,2,2,2.027557373046875,20,1.1099072694778442,0.17210054397583008,"[-0.05536622919607907, 0.02344404358882457, 0.6554419929627329, 0.07251407605363056, 0.15782619449310004]","[0.007545027621381451, 0.004951125104707898, 0.10889616423519329, 0.010467261336088995, 0.005695543711044593]",none,0,The document highlights concerns over fuel prices and their potential impact on sales tax revenue in the coming year.
tofueval_Qwen2.5-1.5B-Instruct,3,3,1.3263496160507202,50,1.184867262840271,0.2159833014011383,"[-0.02037204502914392, -0.03705420823636814, 0.8594464181986404, 0.09379832385624468, 0.03250129977495817]","[0.006088093100468086, 0.006933705546675811, 0.19117501221626299, 0.007303758826167268, 0.0045023994889857024]",none,0,"The speaker discussed concerns over fuel prices, as the prices dropped by approximately $0.25 per gallon, but then increased by $0.30 in the last two weeks, leading to a potential loss in sales tax revenue for the city."
tofueval_Qwen2.5-1.5B-Instruct,4,4,2.109684944152832,35,1.1651793718338013,0.19788987934589386,"[-0.0006179638323374093, -0.008641391312370876, 1.0882050838188402, 0.01181985880913479, 0.014367273859846007]","[0.011920648128183789, 0.0031891080147943285, 0.17873435811364158, 0.008468573719840475, 0.004856599067326378]",none,1,"The speaker expresses concern over potential losses in fuel sales due to fluctuating prices, citing a recent strike at a local refinery and the impact of fracking on per-barrel costs."
tofueval_Qwen2.5-1.5B-Instruct,4,4,1.447765588760376,30,0.9260892868041992,0.20602141320705414,"[0.679091963203003, 0.22121131539267178, 0.12548532006330787, 0.017137271381701187, -0.012407460579803834]","[0.0863847662791765, 0.08494141979632938, 0.0801072972259135, 0.03270941945819459, 0.002749351379478071]",none,0,"They note that while the city's current 40% sales tax collection is up from last year's 32%, there may be challenges ahead."
tofueval_Qwen2.5-1.5B-Instruct,5,5,1.6056991815567017,31,1.878678798675537,0.19770589470863342,"[-0.09601185933241786, -0.02115811588925182, 1.6631740108845876, -0.01215302327463794, 0.05145168799959544]","[0.007874379694796164, 0.002573738032123724, 0.18173803038699854, 0.008741178168278449, 0.005628097353865674]",none,0,The speaker expressed concern over fuel prices and mentioned that there may be a loss in the next year due to fluctuations in the fracking industry and prices per barrel.
tofueval_Qwen2.5-1.5B-Instruct,6,6,2.5821456909179688,15,2.821000814437866,0.2854689657688141,"[0.12372572955985864, 0.07911975421011448, 1.6538029546538988, 0.10078996364027262, -0.03318265154957771]","[0.023357800229860004, 0.02858383983063201, 0.23597938052068154, 0.007195694830928309, 0.009463363862596452]",none,0,"Business, industry, restaurants and consumer goods led sales tax growth this quarter."
tofueval_Qwen2.5-1.5B-Instruct,6,6,1.9846062660217285,8,-0.3645767569541931,0.13784027099609375,"[0.23185598355485126, 0.19454529765062034, -0.3261809735558927, 0.06487984815612435, -0.023552215890958905]","[0.010041051377811527, 0.0024251407467090758, 0.12588558346033096, 0.0014295512751232309, 0.004679150883021066]",none,1,Fuel sales declined due to lower gas prices.
tofueval_Qwen2.5-1.5B-Instruct,6,6,1.9552134275436401,14,1.332856297492981,0.19877760112285614,"[0.06678127377693142, 0.0481273333675095, 0.5305816118738481, 1.1277288650162518, 0.07618255440944008]","[0.025732865039442134, 0.00992877445241902, 0.10449000012262591, 0.12881027123824293, 0.009885859253699891]",none,1,The city's sales tax rate of 9% remains below nearby cities.
tofueval_Qwen2.5-1.5B-Instruct,6,6,2.4577133655548096,12,0.4433635175228119,0.25374457240104675,"[0.052350388218959175, -0.01019053595761458, 0.4403393343091011, -0.06139457101623217, -0.033854277804493904]","[0.020035154494204715, 0.004295165281898032, 0.2504784807873269, 0.012474935598826656, 0.0023721282092689457]",none,0,Online retail sales are growing quickly but accrue to the county.
tofueval_Qwen2.5-1.5B-Instruct,7,7,1.3530700206756592,34,1.4140446186065674,0.2135831117630005,"[0.50693559209193, 0.39602265391423475, -0.05145100048321183, 0.02444494465303518, 0.05142364678506377]","[0.08450148317377384, 0.09998925464471059, 0.026888896015367102, 0.0024059713065231764, 0.006335180672645974]",none,0,"The speaker reports that the sales tax collections for the second quarter of 2014 were at 40%, compared to 32% the previous year."
tofueval_Qwen2.5-1.5B-Instruct,7,7,0.8378047347068787,15,2.3324334621429443,0.3137663006782532,"[-0.09515979198428491, 0.1080612273265918, 2.52441050807635, 0.050305065062517924, 0.003410570517492791]","[0.017046617311037456, 0.07324725444195793, 0.2585934560125073, 0.0012590040873571222, 0.002840251837975908]",none,1,"The top industries performing well were business and industry, restaurants, and consumer goods."
tofueval_Qwen2.5-1.5B-Instruct,7,7,0.6895641088485718,16,1.427619457244873,0.24885594844818115,"[0.006582493944733869, 0.02110661498409172, 1.5717129648473929, -0.004493994538279367, -0.005462056735268561]","[0.011914099100522435, 0.009738993545681751, 0.24634179606073303, 0.0017354206937056915, 0.001459561884146865]",none,0,The speaker also mentions that online retail sales are expected to be the fastest-growing area.
